notification_no,work_order_no,notification_date,order_created_date,completion_date,functional_location,equipment_tag,equipment_description,equipment_class,priority,status,craft,process_upset,failure_mode,failure_code,cause_code,outage_required,labor_hours,material_cost_usd,notification_short_text,notification_long_text
10450306,40870306,2022-08-23,2022-08-24,2022-08-26,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P3,TECO,OPS+INST,reboiler_duty_loss,circ poor,NO_FLOW,PLUG,N,5.6,6924.5,"E-501 circ poor again, prod upset","days called for E-501 deethanizer reboiler, rb circ cold seen during reboiler duty loss. Foud circ poor; blocked inlet screen. Line was hot so job done slow and with ops standing by. calibrated, loop checked with CCR. unit stable now. notif made by ops, maint attended same shift."
10450307,40870307,2022-08-23,2022-08-24,2022-08-25,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,COMP,OPS+MECH,reflux_pump_degradation,motor trip,MOTOR,ELEC,N,15.0,15970.95,P-501B motor trip noisy,"A shift called for P-501B reflux pump B, disch press low seen during reflux pump degradation. Foud motor trip; overload trip after upset. changed gasket and boxed up. need watch next feed swing. notif made by ops, maint attended same shift."
10450308,40870308,2022-08-27,2022-08-27,2022-08-30,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P2,COMP,INST,valve_stiction,circ poor,NO_FLOW,PLUG,N,8.5,16277.85,E-501 circ poor temp fix,"B shift called for E-501 deethanizer reboiler, valve sticking seen during valve stiction. Foud circ poor; blocked inlet screen. reset trip and monitored for 2 hrs. no leak at handover. notif made by ops, maint attended same shift."
10450309,40870309,2022-08-28,2022-08-29,2022-08-30,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P2,COMP,OPS+MECH,condenser_fouling,not stroking,NO_TRAVEL,ACT,N,17.2,5759.42,"PV-501 not stroking again, prod upset","days called for PV-501 column pressure control valve, high ovhd press seen during condenser fouling. Foud not stroking; actuator weak. changed gasket and boxed up. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450310,40870310,2022-08-27,2022-08-27,2022-08-28,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P4,CLSD,INST,valve_stiction,air leak,AIR_LEAK,TUBING,N,8.3,1899.23,"FV-501 air leak, air leak","night called for FV-501 feed flow ctrl valve, position bad seen during valve stiction. Foud air leak; positioner supply drop. Could not get permit first time waiting area gas test. swapped to standby and repaired. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450311,40870311,2022-08-29,2022-08-31,2022-08-31,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,TECO,ROT,condenser_fouling,stiction,STICK,PACKING,N,3.3,4216.36,TV-502 stiction asap,"days called for TV-502 condenser cooling valve, high ovhd press seen during condenser fouling. Foud stiction; stem sticky and pos err. swapped to standby and repaired. unit stable now. notif made by ops, maint attended same shift."
10450312,40870312,2022-08-30,2022-08-31,2022-09-01,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P2,COMP,OPS+MECH,reboiler_duty_loss,tube fouling,FOULING,PROCESS,N,12.9,1573.79,"E-503 tube fouling again, prod upset","C shift called for E-503 feed bottoms exchanger, rb circ cold seen during reboiler duty loss. Foud tube fouling; duty low, delta t poor. replaced positioner tubing and retuned small. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450313,40870313,2022-08-30,2022-08-31,2022-09-05,U400-DEETHANIZER-500,PSV-501A,column relief valve A,relief,P4,TECO,ANLYZR,pressure_control_fault,seat passing,LEAK_BY,SEAT,N,5.5,6010.3,"PSV-501A flare valve checked, seat passing","A shift called for PSV-501A column relief valve A, pv not movng seen during pressure control fault. Foud seat passing; tail pipe warm. stroke tested, response better. unit stable now. notif made by ops, maint attended same shift."
10450314,40870314,2022-09-01,2022-09-01,2022-09-03,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P3,COMP,ANLYZR,reboiler_duty_loss,loose wire,SIGNAL,ELEC,N,5.8,4940.0,"TT-503 rb circ cold, loose wire","night called for TT-503 rebiler outlet temp tx, rb circ cold seen during rebiler duty loss. Foud loose wire; term loose. Line was hot so job done slow and with ops standing by. swapped to standby and repaired. unit stable now. notif made by ops, maint attended same shift."
10450315,40870315,2022-09-03,2022-09-04,2022-09-06,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P4,COMP,MECH,reboiler_duty_loss,tube leak sus,LEAK,TUBE,N,9.3,5287.2,E-502 tube leak sus chk & revert,"night called for E-502 deethanizer overhead condenser, tray temp low seen during reboiler duty loss. Foud tube leak sus; hydrotest reqd. tightened fittings, leak test ok. need watch next feed swing. notif made by ops, maint attended same shift."
10450316,40870316,2022-09-06,2022-09-07,2022-09-08,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P3,COMP,MECH,reboiler_duty_loss,air leak,AIR_LEAK,TUBING,N,8.3,876.05,chk PV-501 - air leak frm ops,"days called for PV-501 colmn pressure control valve, steam/hm valve no resp seen during reboiler duty loss. Foud air leak; positioner supply drop. reset trip and monitored for 2 hrs. unit stable now. notif made by ops, maint attended same shift."
10450317,40870317,2022-09-05,2022-09-05,2022-09-05,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P3,CLSD,VALVE,reboiler_duty_loss,passing,LEAK_BY,SEAT,N,8.8,4404.68,"FV-502 rb circ cold, passing","night called for FV-502 reflux flow ctrl valve, steam/hm valve no resp seen during reboiler duty loss. Foud passing; seat leak by. cleaned and put back online. readng close to dcs after job. notif made by ops, maint attended same shift."
10450318,40870318,2022-09-09,2022-09-09,2022-09-12,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P3,CLSD,INST,reboiler_duty_loss,stiction,STICK,PACKING,N,9.4,4784.39,"FV-501 rb circ cold, stiction","A shift called for FV-501 feed flow control valve, low heat seen during rebiler duty loss. Foud stiction; stem sticky and pos err. No spare in store at first, used refurb one from shop. cleaned and put back online. ops says ok for now. notif made by ops, maint attended same shift."
10450319,40870319,2022-09-11,2022-09-12,2022-09-13,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P4,TECO,INST,reboiler_duty_loss,stiction,STICK,PACKING,N,1.8,4865.45,"TV-502 low heat, stiction","night called for TV-502 condnsr cooling valve, tray temp low seen during reboiler duty loss. Foud stiction; stem sticky and pos err. Tag plate dirty, confirmd by line up with panel. opened strainer, cleaned black sludge. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450320,40870320,2022-09-12,2022-09-13,2022-09-15,U400-DEETHANIZER-500,P-502A,bottoms pump A,pump,P2,TECO,ANLYZR,pressure_control_fault,seal leak,MECH_SEAL,SEAL,N,11.5,14089.42,"P-502A pic unstable, seal leak","days called for P-502A bottoms pump A, pshh close call seen during press control fault. Foud seal leak; seal face worn / dry run signs. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
10450321,40870321,2022-09-16,2022-09-16,2022-09-16,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P1,TECO,MECH,condenser_fouling,passing,LEAK_BY,SEAT,Y,23.3,2161.54,chk PV-501 - passing frm ops,"days called for PV-501 column press ctrl vavle, pic wide open seen during condenser fouling. Foud passing; seat leak by. replaced positioner tubing and retuned small. ops says ok for now. notif made by ops, maint attended same shift."
10450322,40870322,2022-09-13,2022-09-14,2022-09-15,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P4,COMP,INST,reboiler_duty_loss,loose wire,SIGNAL,ELEC,N,10.5,1938.94,TT-503 not ok after reboiler duty loss,"A shift called for TT-503 rebiler outlet temperature tx, tray temp low seen during rebiler duty loss. Foud loose wire; term loose. History shows same complain last mnth. tightened fittings, leak test ok. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450323,40870323,2022-09-19,2022-09-21,2022-09-21,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P3,CLSD,ROT,feed_temperature_ramp,low duty,DUTY_LOSS,UTILITY,N,16.8,11626.07,"E-501 rb duty up, low duty","C shift called for E-501 deethanizer reboiler, spec off seen during feed temperature ramp. Foud low duty; hm vavle/strainer issue. Could not get permit first time waiting area gas test. reset trip and monitored for 2 hrs. need watch next feed swing. notif made by ops, maint attended same shift."
10450324,40870324,2022-09-20,2022-09-22,2022-09-22,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P3,TECO,INST,reflux_pump_degradation,motor trip,MOTOR,ELEC,N,12.7,8812.75,P-501A motor trip again,"A shift called for P-501A reflux pump A, low reflux seen during reflux pump degradation. Foud motor trip; overload trip after upset. Tag plate dirty, confirmd by line up with panel. flushed impulse/sample line. no leak at handover. notif made by ops, maint attended same shift."
10450325,40870325,2022-09-20,2022-09-20,2022-09-21,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,CLSD,ROT,feed_temperature_ramp,hunting loop,CTRL_OSC,TUNE,N,1.7,334.61,chk TV-502 - hunting loop frm ops,"night called for TV-502 condenser cooling valve, rb duty up seen during feed temp ramp. Foud hunting loop; bad response after upset. History shows same complain last mnth. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
10450326,40870326,2022-09-22,2022-09-24,2022-09-24,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,TECO,ANLYZR,reflux_pump_degradation,air leak,AIR_LEAK,TUBING,N,11.1,5337.4,"TV-502 disch press low, air leak","C shift called for TV-502 condenser cooling valve, min flow hot seen during reflux pump degradation. Foud air leak; positioner supply drop. History shows same complain last mnth. opened strainer, cleaned black sludge. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450327,40870327,2022-09-23,2022-09-24,2022-09-24,U400-DEETHANIZER-500,T-501,deethanizer column,column,P3,TECO,VALVE,feed_flow_step,tray temp bad,TEMP_DEV,PROCESS,N,4.2,5424.24,"T-501 feed jump, tray temp bad","A shift called for T-501 deethanizer column, feed jump seen during feed flow step. Foud tray temp bad; profile not normal. flushed impulse/sample line. readng close to dcs after job. notif made by ops, maint attended same shift."
10450328,40870328,2022-09-23,2022-09-25,2022-09-30,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P3,COMP,E&I,valve_stiction,not stroking,NO_TRAVEL,ACT,N,1.2,3434.96,PV-501 not stroking temp fix,"night called for PV-501 column pressure control valve, air leak seen during valve stiction. Foud not stroking; actuator weak. swapped to standby and repaired. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450329,40870329,2022-09-27,2022-09-27,2022-10-02,U400-DEETHANIZER-500,FV-501,feed flow control valve,control_valve,P3,TECO,MECH,feed_flow_step,stiction,STICK,PACKING,N,1.9,4139.66,"FV-501 stiction again, prod upset","night called for FV-501 feed flow control vavle, lvl swing seen during feed flow step. Foud stiction; stem sticky and pos err. stroke tested, response better. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450330,40870330,2022-09-24,2022-09-26,2022-09-29,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P3,TECO,ANLYZR,pressure_control_fault,no signal,NO_SIGNAL,ELEC,N,2.0,3698.55,"TT-501B no signal again, prod upset","days called for TT-501B sensitive tray temperature tx, pv not movng seen during press control fault. Foud no signal; 24v or card issue. Line was hot so job done slow and with ops standing by. flushed impulse/sample line. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450331,40870331,2022-09-25,2022-09-26,2022-09-26,U400-DEETHANIZER-500,P-502B,bottoms pump B,pump,P4,COMP,ROT,feed_composition_shift,seal leak,MECH_SEAL,SEAL,N,17.0,1172.85,"P-502B seal leak again, prod upset","night called for P-502B bottoms pump B, ovhd c3 slip seen during feed composition shift. Foud seal leak; seal face worn / dry run signs. tightened fittings, leak test ok. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450332,40870332,2022-09-29,2022-10-01,2022-10-02,U400-DEETHANIZER-500,V-501,deethanizer reflux drum,vessel,P3,COMP,OPS+INST,valve_stiction,level swing,LVL_SWING,CTRL,N,9.3,5680.17,"V-501 level swing again, prod upset","A shift called for V-501 deethanizer rflx drum, air leak seen during valve stiction. Foud level swing; lt/lic problem. calibrated, loop checked with CCR. no leak at handover. notif made by ops, maint attended same shift."
10450333,40870333,2022-09-29,2022-10-01,2022-10-03,U400-DEETHANIZER-500,T-501,deethanizer column,column,P2,CLSD,E&I,feed_composition_shift,weeping flange,LEAK,GASKET,N,12.0,772.44,chk T-501 - weeping flange frm ops,"days called for T-501 deethanizer column, ovhd c3 slip seen during feed composition shift. Foud weeping flange; manway/flange seep. History shows same complain last mnth. tightened fittings, leak test ok. need watch next feed swing. notif made by ops, maint attended same shift."
10450334,40870334,2022-10-04,2022-10-04,2022-10-04,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P3,COMP,E&I,condenser_fouling,high press,PERF,FOUL,N,7.3,8513.87,chk E-502 - high press frm ops,"night called for E-502 deethanizer overhead condenser, cw dt low seen during condenser fouling. Foud high press; condensing duty poor. Line was hot so job done slow and with ops standing by. cleaned and put back online. ops says ok for now. notif made by ops, maint attended same shift."
10450335,40870335,2022-10-04,2022-10-04,2022-10-04,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P4,COMP,ROT,reflux_pump_degradation,hunting loop,CTRL_OSC,TUNE,N,1.1,5855.5,chk FV-502 - hunting loop frm ops,"night called for FV-502 reflux flow control valve, min flow hot seen during reflux pump degradation. Foud hunting loop; bad response after upset. Could not get permit first time waiting area gas test. flushed impulse/sample line. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450336,40870336,2022-10-03,2022-10-03,2022-10-04,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P2,COMP,INST,pressure_control_fault,plugged pass,PLUG,FOUL,Y,13.1,4747.59,"E-503 plugged pass again, prod upset","A shift called for E-503 feed bottoms exchanger, pshh close call seen during pressure control fault. Foud plugged pass; flow restricted. stroke tested, response better. unit stable now. notif made by ops, maint attended same shift."
10450337,40870337,2022-10-08,2022-10-08,2022-10-09,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P4,CLSD,E&I,reboiler_duty_loss,range err,SPAN,CAL,N,12.1,4843.74,chk TT-501B - range err frm ops,"B shift called for TT-501B sensitive tray temperature tx, low heat seen during rebiler duty loss. Foud range err; span shifted. Could not get permit first time waiting area gas test. reset trip and monitored for 2 hrs. ops says ok for now. notif made by ops, maint attended same shift."
10450338,40870338,2022-10-08,2022-10-08,2022-10-08,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P4,TECO,ROT,feed_flow_step,gasket weep,LEAK,GASKET,N,7.6,10811.21,E-503 not ok after feed flow step,"A shift called for E-503 feed bottoms exchanger, feed jump seen during feed flow step. Foud gasket weep; flange sweating. No spare in store at first, used refurb one from shop. flushed impulse/sample line. readng close to dcs after job. notif made by ops, maint attended same shift."
10450339,40870339,2022-10-08,2022-10-10,2022-10-15,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P3,COMP,OPS+MECH,feed_temperature_ramp,passing,LEAK_BY,SEAT,N,2.7,1012.46,"TV-501 rb duty up, passing","days called for TV-501 reboiler hot medium valve, ovhd press moving seen during feed temperature ramp. Foud passing; seat leak by. Tag plate dirty, confirmd by line up with panel. cleaned and put back online. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450340,40870340,2022-10-09,2022-10-09,2022-10-12,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P2,CLSD,OPS+INST,valve_stiction,stiction,STICK,PACKING,Y,14.7,4329.11,TV-502 stiction pls chk,"night called for TV-502 condenser cooling valve, loop cycling seen during valve stiction. Foud stiction; stem sticky and pos err. changed gasket and boxed up. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450341,40870341,2022-10-10,2022-10-10,2022-10-11,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P3,COMP,VALVE,condenser_fouling,vib high,VIB,ALIGN,N,13.3,3907.21,chk P-501B - vib high frm ops,"C shift called for P-501B reflux pump B, cond not pullng seen during condenser fouling. Foud vib high; coupling align or cavitation. Line was hot so job done slow and with ops standing by. changed gasket and boxed up. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450342,40870342,2022-10-12,2022-10-12,2022-10-12,U400-DEETHANIZER-500,P-502A,bottoms pump A,pump,P2,COMP,VALVE,condenser_fouling,motor trip,MOTOR,ELEC,N,15.9,15733.79,P-502A not ok after condnsr fouling,"night called for P-502A bottoms pump A, high ovhd press seen during condenser fouling. Foud motor trip; overload trip after upset. flushed impulse/sample line. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450343,40870343,2022-10-13,2022-10-14,2022-10-15,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P3,CLSD,ANLYZR,feed_temperature_ramp,range err,SPAN,CAL,N,11.4,5821.48,"TT-501B rb duty up, range err","days called for TT-501B sensitive tray temperature tx, rb duty up seen during feed temperature ramp. Foud range err; span shifted. stroke tested, response better. readng close to dcs after job. notif made by ops, maint attended same shift."
10450344,40870344,2022-10-18,2022-10-19,2022-10-21,U400-DEETHANIZER-500,PSV-502,reflux drum relief valve,relief,P2,CLSD,VALVE,feed_composition_shift,car seal broken,CSO,HUMAN,N,5.4,5162.88,"PSV-502 anlyzr off, car seal broken","days called for PSV-502 reflux drum relief valve, c3 in feed hi seen during feed composition shift. Foud car seal broken; seal missing found. reset trip and monitored for 2 hrs. need watch next feed swing. notif made by ops, maint attended same shift."
10450345,40870345,2022-10-19,2022-10-19,2022-10-24,U400-DEETHANIZER-500,XV-501,feed shutdown valve,shutdown_valve,P1,TECO,VALVE,feed_temperature_ramp,solenoid fault,SOL,ELEC,N,9.3,4091.38,"XV-501 solenoid fault again, prod upset","days called for XV-501 feed shutdown valve, rb duty up seen during feed temperature ramp. Foud solenoid fault; coil hot/no shift. Line was hot so job done slow and with ops standing by. cleaned and put back online. readng close to dcs after job. notif made by ops, maint attended same shift."
10450346,40870346,2022-10-19,2022-10-19,2022-10-20,U400-DEETHANIZER-500,AIT-502,bottoms C3+ analyzer,analyzer,P2,CLSD,ANLYZR,feed_composition_shift,anlyzr drift,DRIFT,CAL_GAS,N,8.0,5339.7,AIT-502 anlyzr drift bad,"B shift called for AIT-502 bottoms C3+ analyzer, ovhd c3 slip seen during feed composition shift. Foud anlyzr drift; cal gas failed. Could not get permit first time waiting area gas test. flushed impulse/sample line. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450347,40870347,2022-10-21,2022-10-21,2022-10-23,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P4,CLSD,INST,condenser_fouling,tube leak sus,LEAK,TUBE,N,8.2,15133.2,E-502 tube leak sus ops req,"night called for E-502 deethanizer overhead condenser, pic wide open seen during condenser fouling. Foud tube leak sus; hydrotest reqd. changed gasket and boxed up. no leak at handover. notif made by ops, maint attended same shift."
10450348,40870348,2022-10-23,2022-10-25,2022-10-28,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P2,COMP,ANLYZR,reboiler_duty_loss,no signal,NO_SIGNAL,ELEC,N,8.3,5243.09,"TT-501B no signal again, prod upset","days called for TT-501B sensitive tray temperature tx, steam/hm valve no resp seen during reboiler duty loss. Foud no signal; 24v or card issue. Tag plate dirty, confirmd by line up with panel. stroke tested, response better. readng close to dcs after job. notif made by ops, maint attended same shift."
10450349,40870349,2022-10-22,2022-10-24,2022-10-26,U400-DEETHANIZER-500,FT-501,feed flow transmitter,instrument,P3,COMP,E&I,feed_flow_step,range err,SPAN,CAL,N,9.5,259.8,FT-501 not ok after feed flow step,"C shift called for FT-501 feed flow tx, fic hunting seen during feed flow step. Foud range err; span shifted. flushed impulse/sample line. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450350,40870350,2022-10-26,2022-10-27,2022-10-27,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P2,COMP,INST,valve_stiction,air leak,AIR_LEAK,TUBING,Y,16.2,6601.55,"TV-502 air leak, air leak","days called for TV-502 condnsr cooling valve, valve sticking seen during valve stiction. Foud air leak; positioner supply drop. Tag plate dirty, confirmd by line up with panel. flushed impulse/sample line. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450351,40870351,2022-10-29,2022-10-29,2022-10-31,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P2,COMP,VALVE,feed_temperature_ramp,fouled bundle,FOULING,PROCESS,N,5.4,10946.36,E-501 fouled bundle bad,"B shift called for E-501 deethanizer rebiler, feed temp high seen during feed temperature ramp. Foud fouled bundle; bottoms side dirty. History shows same complain last mnth. reset trip and monitored for 2 hrs. readng close to dcs after job. notif made by ops, maint attended same shift."
10450352,40870352,2022-10-31,2022-10-31,2022-11-01,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P4,TECO,INST,feed_temperature_ramp,air leak,AIR_LEAK,TUBING,N,13.9,4115.3,"TV-501 air leak again, prod upset","days called for TV-501 reboiler hot medium valve, ovhd press moving seen during feed temperature ramp. Foud air leak; positioner supply drop. opened strainer, cleaned black sludge. need watch next feed swing. notif made by ops, maint attended same shift."
10450353,40870353,2022-10-30,2022-10-31,2022-11-01,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P3,CLSD,MECH,feed_composition_shift,passing,LEAK_BY,SEAT,N,12.4,5472.2,chk TV-501 - passing frm ops,"B shift called for TV-501 rebiler hot medium valve, anlyzr off seen during feed composition shift. Foud passing; seat leak by. Could not get permit first time waiting area gas test. swapped to standby and repaired. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450354,40870354,2022-10-29,2022-10-30,2022-11-04,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P3,COMP,ROT,feed_temperature_ramp,gasket weep,LEAK,GASKET,N,9.2,13258.62,"E-503 ovhd press moving, gasket weep","B shift called for E-503 feed bottoms exchanger, spec off seen during feed temperature ramp. Foud gasket weep; flange sweating. cleaned and put back online. no leak at handover. notif made by ops, maint attended same shift."
10450355,40870355,2022-11-02,2022-11-04,2022-11-05,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P2,TECO,ROT,feed_composition_shift,fouled bundle,FOULING,PROCESS,Y,7.4,16955.45,"E-501 fouled bundle again, prod upset","B shift called for E-501 deethanizer reboiler, ovhd c3 slip seen during feed composition shift. Foud fouled bundle; bottoms side dirty. flushed impulse/sample line. ops says ok for now. notif made by ops, maint attended same shift."
10450356,40870356,2022-11-05,2022-11-06,2022-11-07,U400-DEETHANIZER-500,P-501B,reflux pump B,pump,P2,TECO,ANLYZR,reflux_pump_degradation,bearing hot,BRG,WEAR,N,12.4,11227.05,P-501B not ok after rflx pump degradation,"night called for P-501B reflux pump B, pump vib seen during reflux pump degradation. Foud bearing hot; brg rough, lube dark. History shows same complain last mnth. flushed impulse/sample line. need watch next feed swing. notif made by ops, maint attended same shift."
10450357,40870357,2022-11-05,2022-11-06,2022-11-07,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P3,COMP,INST,reflux_pump_degradation,stiction,STICK,PACKING,N,4.9,5514.28,"FV-502 min flow hot, stiction","days called for FV-502 reflux flow ctrl valve, min flow hot seen during reflux pump degradation. Foud stiction; stem sticky and pos err. History shows same complain last mnth. cleaned and put back online. need watch next feed swing. notif made by ops, maint attended same shift."
10450358,40870358,2022-11-06,2022-11-07,2022-11-07,U400-DEETHANIZER-500,TT-503,reboiler outlet temperature tx,instrument,P3,COMP,ANLYZR,reboiler_duty_loss,impulse plugged,PLUG,PROCESS,N,17.0,3079.76,"TT-503 impulse plugged again, prod upset","days called for TT-503 reboiler outlet temperature tx, steam/hm vavle no resp seen during reboiler duty loss. Foud impulse plugged; tap/line dirty. Line was hot so job done slow and with ops standing by. swapped to standby and repaired. need watch next feed swing. notif made by ops, maint attended same shift."
10450359,40870359,2022-11-07,2022-11-07,2022-11-09,U400-DEETHANIZER-500,TV-502,condenser cooling valve,control_valve,P3,TECO,MECH,valve_stiction,hunting loop,CTRL_OSC,TUNE,N,9.3,5788.74,"TV-502 hunting loop again, prod upset","days called for TV-502 condenser cooling valve, position bad seen during valve stiction. Foud hunting loop; bad response after upset. reset trip and monitored for 2 hrs. ops says ok for now. notif made by ops, maint attended same shift."
10450360,40870360,2022-11-12,2022-11-12,2022-11-13,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P3,TECO,MECH,feed_temperature_ramp,circ poor,NO_FLOW,PLUG,N,13.6,16743.5,chk E-501 - circ poor frm ops,"night called for E-501 deethanizer reboiler, spec off seen during feed temperature ramp. Foud circ poor; blocked inlet screen. reset trip and monitored for 2 hrs. unit stable now. notif made by ops, maint attended same shift."
10450361,40870361,2022-11-11,2022-11-13,2022-11-18,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P3,COMP,VALVE,condenser_fouling,tv no travel,VALVE,STICK,N,15.5,14848.96,E-502 not ok after condenser fouling,"C shift called for E-502 deethanizer overhead condenser, high ovhd press seen during condenser fouling. Foud tv no travel; cooling valve stuck. History shows same complain last mnth. tightened fittings, leak test ok. unit stable now. notif made by ops, maint attended same shift."
10450362,40870362,2022-11-11,2022-11-13,2022-11-13,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P2,COMP,OPS+MECH,pressure_control_fault,tv no travel,VALVE,STICK,N,12.9,7203.61,E-502 not ok after pressure control fault,"A shift called for E-502 deethanizer overhead condenser, pshh close call seen during pressure control fault. Foud tv no travel; cooling valve stuck. Could not get permit first time waiting area gas test. replaced positioner tubing and retuned small. unit stable now. notif made by ops, maint attended same shift."
10450363,40870363,2022-11-12,2022-11-12,2022-11-13,U400-DEETHANIZER-500,LV-502,bottoms level valve,control_valve,P2,TECO,VALVE,valve_stiction,air leak,AIR_LEAK,TUBING,N,13.6,6251.84,"LV-502 op jumps, air leak","B shift called for LV-502 bottoms level vavle, op jumps seen during vavle stiction. Foud air leak; positioner supply drop. changed gasket and boxed up. unit stable now. notif made by ops, maint attended same shift."
10450364,40870364,2022-11-13,2022-11-15,2022-11-18,U400-DEETHANIZER-500,LV-502,bottoms level valve,control_valve,P3,COMP,ANLYZR,valve_stiction,stiction,STICK,PACKING,N,7.8,4543.69,chk LV-502 - stiction frm ops,"days called for LV-502 bottoms level valve, position bad seen during valve stiction. Foud stiction; stem sticky and pos err. stroke tested, response better. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450365,40870365,2022-11-16,2022-11-16,2022-11-17,U400-DEETHANIZER-500,PV-501,column pressure control valve,control_valve,P2,TECO,VALVE,condenser_fouling,air leak,AIR_LEAK,TUBING,N,6.8,2181.08,PV-501 air leak noisy,"B shift called for PV-501 column pressure control valve, cw dt low seen during condnsr fouling. Foud air leak; positioner supply drop. Could not get permit first time waiting area gas test. cleaned and put back online. need watch next feed swing. notif made by ops, maint attended same shift."
10450366,40870366,2022-11-16,2022-11-16,2022-11-17,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P4,CLSD,OPS+INST,feed_temperature_ramp,no signal,NO_SIGNAL,ELEC,N,5.3,1636.13,TT-501B no signal bad,"night called for TT-501B sensitive tray temp tx, ovhd press moving seen during feed temp ramp. Foud no signal; 24v or card issue. reset trip and monitored for 2 hrs. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450367,40870367,2022-11-17,2022-11-17,2022-11-18,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P2,TECO,VALVE,valve_stiction,stiction,STICK,PACKING,Y,17.3,3068.27,FV-502 stiction temp fix,"A shift called for FV-502 reflux flow ctrl valve, op jumps seen during valve stiction. Foud stiction; stem sticky and pos err. Line was hot so job done slow and with ops standing by. cleaned and put back online. need watch next feed swing. notif made by ops, maint attended same shift."
